"msa","name_msa","fipstate","fipscty","name_county"
"14540","Bowling Green, KY Metro Area","21","227","Warren County, Kentucky"
"14580","Bozeman, MT Micro Area","30","031","Gallatin County, Montana"
"14620","Bradford, PA Micro Area","42","083","McKean County, Pennsylvania"
"14660","Brainerd, MN Micro Area","27","021","Cass County, Minnesota"
"14660","Brainerd, MN Micro Area","27","035","Crow Wing County, Minnesota"
"14700","Branson, MO Micro Area","29","209","Stone County, Missouri"
"14700","Branson, MO Micro Area","29","213","Taney County, Missouri"
"14720","Breckenridge, CO Micro Area","08","117","Summit County, Colorado"
"14740","Bremerton-Silverdale, WA Metro Area","53","035","Kitsap County, Washington"
"14780","Brenham, TX Micro Area","48","477","Washington County, Texas"
"14820","Brevard, NC Micro Area","37","175","Transylvania County, North Carolina"
"14860","Bridgeport-Stamford-Norwalk, CT Metro Area","09","001","Fairfield County, Connecticut"
"15020","Brookhaven, MS Micro Area","28","085","Lincoln County, Mississippi"
"15060","Brookings, OR Micro Area","41","015","Curry County, Oregon"
"15100","Brookings, SD Micro Area","46","011","Brookings County, South Dakota"
"15180","Brownsville-Harlingen, TX Metro Area","48","061","Cameron County, Texas"
"15220","Brownwood, TX Micro Area","48","049","Brown County, Texas"
"15260","Brunswick, GA Metro Area","13","025","Brantley County, Georgia"
"15260","Brunswick, GA Metro Area","13","127","Glynn County, Georgia"
"15260","Brunswick, GA Metro Area","13","191","McIntosh County, Georgia"
"15340","Bucyrus, OH Micro Area","39","033","Crawford County, Ohio"
"15380","Buffalo-Cheektowaga-Niagara Falls, NY Metro Area","36","029","Erie County, New York"
"15380","Buffalo-Cheektowaga-Niagara Falls, NY Metro Area","36","063","Niagara County, New York"
"15420","Burley, ID Micro Area","16","031","Cassia County, Idaho"
"15420","Burley, ID Micro Area","16","067","Minidoka County, Idaho"
"15460","Burlington, IA-IL Micro Area","17","071","Henderson County, Illinois"
"15460","Burlington, IA-IL Micro Area","19","057","Des Moines County, Iowa"
"15500","Burlington, NC Metro Area","37","001","Alamance County, North Carolina"
"15540","Burlington-South Burlington, VT Metro Area","50","007","Chittenden County, Vermont"
"15540","Burlington-South Burlington, VT Metro Area","50","011","Franklin County, Vermont"
"15540","Burlington-South Burlington, VT Metro Area","50","013","Grand Isle County, Vermont"
"15580","Butte-Silver Bow, MT Micro Area","30","093","Silver Bow County, Montana"
"15620","Cadillac, MI Micro Area","26","113","Missaukee County, Michigan"
"15620","Cadillac, MI Micro Area","26","165","Wexford County, Michigan"
"15660","Calhoun, GA Micro Area","13","129","Gordon County, Georgia"
"15680","California-Lexington Park, MD Metro Area","24","037","St. Mary's County, Maryland"
"15700","Cambridge, MD Micro Area","24","019","Dorchester County, Maryland"
"15740","Cambridge, OH Micro Area","39","059","Guernsey County, Ohio"
"15780","Camden, AR Micro Area","05","013","Calhoun County, Arkansas"
"15780","Camden, AR Micro Area","05","103","Ouachita County, Arkansas"
"15820","Campbellsville, KY Micro Area","21","217","Taylor County, Kentucky"
"15860","Caton City, CO Micro Area","08","043","Fremont County, Colorado"
"15900","Canton, IL Micro Area","17","057","Fulton County, Illinois"
"15940","Canton-Massillon, OH Metro Area","39","019","Carroll County, Ohio"
"15940","Canton-Massillon, OH Metro Area","39","151","Stark County, Ohio"
"15980","Cape Coral-Fort Myers, FL Metro Area","12","071","Lee County, Florida"
"16020","Cape Girardeau, MO-IL Metro Area","17","003","Alexander County, Illinois"
